Kod;SKU;RSL TAG;Data kontroli;Kondycja;Opis;Asortyment
0001;44705;2970374;20.04.2026;HDLS;Dwie dziury w kartonie. Stół nieuszkodzony;Sodor
0002;22655;3026783;21.04.2026;HDLS;Dziura na brzegu kartonu. Stół nieuszkodzony;Keter
0003;44841;711/20/04/26;21.04.2026;HDLS;Zgieciony karton i dziura z wystającą z niego stopką produktu.;Sodor
0004;44701;711/20/04/26;21.04.2026;HDLS;Dziura w kartonie. Produkt nieuszkodzony.;Sodor
0005;22658;813/20/04/26;21.04.2026;HDLS;Rozerwany róg kartonu.;Keter
0006;49746-A;467/20/04/26;21.04.2026;HDLS;Uszkodzony róg kartonu oraz przetarcia kartonu na jego dlugim boku.;Cofete
0007;42900;712/20/04/26;21.04.2026;HDLS;Dziura w kartonie. Produkt nieuszkodzony.;Keter
0008;42641-A;131/21/04/26;21.04.2026;HDLS;Grzbiet kartonu zgnieciony, widoczne pęknięcia sklejone przezroczystą taśmą. Rozerwany karton na długim boku. Produkt nieuszkodony.;Perata 
0009;47996-A;813/23/04/26;27.04.2026;HDLS;Karton rozerwany po dwóch przeciwległych stronach.;Lirata
0010;46811-A;2245410;27.04.2026;HDLS;Dziura na środkowej częsci kartonu i przetarcie na krawędzi.;Torino
0011;22658;3056487;27.04.2026;HDLS;Zgnieciony karton. Produkt nieuszkodzony.;Keter
0012;22657;712/28/04/26;29.04.2026;HDLS;Dziurawy karton. Produkt nieuszkodzony.;Keter
0013;46812-B;302/04/05/26;04.05.2026;HDLS;Rozerwany brzeg kartonu;Torino
0014;46813-A;154/04/05/26;04.05.2026;HDLS;Rozerwany brzeg kartonu.;Torino
0015;33312;3045259;04.05.2026;HDLS;Zgnieciony brzeg kartonu.;Keter
0016;32822-A;753/05/05/26;07.05.2026;HDLS;Zgnieciony i rozerwany róg kartonu;Topiano
0017;43015;93/07/05/26;07.05.2026;HDLS;Mocno rozerwany karton po całej długości i dziura na jednym boku.;Cioso
0018;47033;236/07/05/26;07.05.2026;HDLS;Dziura na spodzie kartonu;Topiano
0019;46810-A;166/07/05/26;07.05.2026;HDLS;Rozerwany róg oraz bok kartonu.;Torino
0020;44698;853/06/05/26;07.05.2026;HDLS;Dziura i pęknięcia w kartonie.;Sodor
0021;46811-A;676/07/05/26;07.05.2026;HDLS;Dziura na spodzie, boku i wierzchu kartonu.;Torino
0022;46893;397/09/05/26;11.05.2026;HDLS;Dziury na rogu kartonu i na dużym boku.;Postigo
0023;44855;397/09/05/26;11.05.2026;DAM;Rozerwany i zgnieciony karton, zgieciony element siedziska, odprysk farby i widoczna rdza.;Postigo
